Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.016715;26;23586881;15572802;12;11;0
2.017338;31;23586102;15572374;12;11;0
3.019268;30;23586102;15572374;12;11;0
4.025061;25;23727927;15710149;16;15;1
5.026281;30;23728045;15710213;16;15;0
6.027792;30;23727738;15710041;16;15;0
7.028832;30;23727738;15710041;16;15;0
8.03007;30;23735741;15716694;20;19;1
9.031393;30;23735253;15716422;20;19;1
10.03236;30;23734899;15716230;20;19;0
11.0337;30;23734993;15716270;20;19;0
12.03539;30;23734993;15716270;20;19;0
13.03676;30;23738974;15719576;24;23;1
14.03772;30;23738974;15719576;24;23;0
15.03881;30;23739139;15719660;24;23;0
16.04032;30;23739139;15719660;24;23;0
17.04213;30;23739129;15719596;24;20;0
18.04325;30;23739129;15719596;24;20;0
19.04448;30;23738775;15719404;24;20;0
20.04664;30;23743651;15723038;28;24;1
21.04774;30;23743329;15722878;28;24;0
22.04852;30;23742759;15722578;28;23;0
23.04959;30;23742759;15722578;28;23;0
24.05088;30;23742759;15722578;28;23;0
25.05275;30;23742759;15722578;28;23;0
26.0541;30;23742759;15722578;28;23;0
27.05479;30;23756775;15735487;32;27;1
28.05634;30;23756775;15735487;32;27;0
29.05797;30;23753527;15732023;32;28;1
30.05886;30;23753345;15731895;32;28;2
31.09178;27;23753506;15731955;32;28;2
32.09381;30;23753152;15731763;32;28;2
33.09525;30;23753152;15731763;32;28;2
34.12298;28;23753152;15731763;32;28;1
35.1285;30;23753152;15731763;32;28;0
36.1616;30;23753247;15731831;32;28;1
37.16258;30;23753054;15731719;32;26;0
38.16408;30;23753054;15731719;32;26;0
39.16537;30;23752700;15731527;32;26;0
40.16646;30;23752700;15731527;32;26;0
41.16751;30;23760748;15738684;36;30;1
42.16821;30;23760748;15738684;36;30;1
43.16949;30;23760394;15738492;36;30;0
44.17175;30;23763678;15740723;40;34;1
45.17224;30;23763678;15740723;40;34;0
