Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.012443;34;24593706;16776890;38;37;1
2.014215;61;24592716;16776394;38;37;1
3.016009;61;24591176;16883630;38;37;1
4.024143;60;24589738;16775050;38;37;1
5.025548;60;24632630;16814237;38;37;2
6.027729;60;24631080;16813485;38;37;2
7.029444;60;24630596;16813381;38;37;2
8.031158;58;24632986;17516415;38;37;2
9.032891;60;24637904;16818010;38;37;2
10.03461;60;24637764;16817946;38;37;2
11.03633;60;24635446;16816882;38;37;2
12.03804;59;24633317;16815608;38;37;2
13.03977;61;24634605;17296376;38;37;3
14.04148;60;24633654;16816572;38;37;3
15.0432;60;24637936;16818536;38;37;3
16.04494;60;24637670;16818460;38;37;3
17.04665;60;24636684;16817968;38;37;3
18.04836;60;24635867;16817588;38;37;3
19.05009;60;24634759;16816898;38;37;3
20.05181;60;24634446;16816908;38;37;3
21.05353;60;24633746;16816588;38;37;3
22.05524;60;24638202;16818688;38;37;3
23.05697;60;24637630;16818420;38;37;3
24.05868;60;24636145;16817486;38;37;3
25.06041;60;24635669;16817314;38;37;3
26.06213;60;24634462;16816658;38;37;3
27.06385;60;24634045;16816526;38;37;3
28.06557;60;24633569;16816354;38;37;3
29.06729;60;24637769;16818274;38;37;3
30.069;60;24639927;17376845;38;37;4
31.07072;60;24639467;16820314;38;37;4
32.07244;60;24639581;17079399;38;37;4
33.07417;60;24639095;16933547;38;37;4
34.07588;60;24639193;16820306;38;37;4
35.0776;60;24638321;16819738;38;37;4
36.07932;60;24638111;16819642;38;37;4
37.08105;60;24638115;16819722;38;37;4
38.08278;59;24637819;16819578;38;37;4
39.08448;60;24637625;17154325;38;37;4
40.08621;60;24637128;17448013;38;37;4
41.08792;60;24637202;16819322;38;37;4
42.08964;60;24636671;16819038;38;37;2
43.09138;61;24640871;16820958;38;37;2
44.0931;60;24643609;16823411;38;37;2
45.09481;60;24642699;16822995;38;37;2
46.09653;60;24641141;16822235;38;37;2
47.09789;60;24640319;16821907;38;37;2
48.0996;60;24639191;16821387;38;37;2
49.10131;60;24643434;16823331;38;37;2
50.10303;60;24645488;16825442;38;37;3
51.10476;60;24647593;16827471;38;37;3
52.10608;60;24647639;17934833;38;37;3
53.10735;60;24647359;16827427;38;37;3
54.1092;60;24645959;16826787;38;37;3
55.11063;60;24645356;16826507;38;37;3
56.11261;61;24645428;16826674;38;37;4
57.11433;60;24644384;16826010;38;37;4
58.11609;60;24652457;16830967;38;37;4
59.11782;60;24648390;16829199;38;37;4
60.11955;60;24652492;16830983;38;37;4
61.1213;60;24652126;16830807;38;37;4
62.12304;60;24652212;16830855;38;37;4
63.12476;60;24651928;16830647;38;37;4
64.12653;60;24652212;16830855;38;37;4
65.12827;60;24652520;16831087;38;37;4
66.13;60;24650866;16829889;38;37;1
67.13174;60;24650481;16829713;38;37;1
68.13348;60;24649326;16829185;38;37;1
69.13522;59;24649567;16829711;38;37;2
70.13694;61;24648629;16829267;38;37;2
71.14039;60;24652838;17537494;38;37;2
72.14214;60;24652278;16830959;38;37;2
73.14387;60;24649771;16829497;38;37;1
74.14561;60;24648830;16828727;38;37;2
75.14736;60;24646337;16827241;38;37;1
76.14909;59;24653322;16831471;38;37;2
77.15083;61;24651279;16830321;38;37;1
78.15257;60;24649666;16829449;38;37;1
79.15431;60;24650102;16829999;38;37;2
80.15605;60;24648384;17015757;38;37;1
81.1578;60;24655805;16834011;38;37;2
82.15954;60;24655049;16833635;38;37;2
83.16127;60;24653272;16832561;38;37;2
84.16301;60;24651854;16831865;38;37;2
85.16475;60;24651032;16831537;38;37;2
86.1665;60;24655372;16833521;38;37;2
87.16874;60;24654035;16832507;38;37;3
88.1706;60;24653690;16832371;38;37;3
89.17247;60;24653164;16832263;38;37;4
90.1743;60;24652436;16831915;38;37;4
91.17597;60;24651528;17091728;38;37;5
92.17738;60;24651437;17132321;38;37;5
93.17894;60;24651546;17242662;38;37;6
94.18053;60;24652450;16831587;38;37;6
95.18211;60;24652870;16831779;38;37;6
96.18369;60;24653309;17549412;38;37;6
97.18526;60;24649720;16830339;38;37;6
98.18686;60;24655624;16835939;38;37;7
99.18843;60;24657073;16836951;38;37;7
100.19;60;24657711;16837247;38;37;7
101.1916;60;24658341;16837535;38;37;7
102.1932;60;24658511;16837439;38;37;7
103.1947;60;24655291;16835891;38;37;7
104.1963;60;24656583;16836727;38;37;7
105.1979;60;24657221;16837023;38;37;7
106.1995;60;24657181;16836755;38;37;7
107.2011;60;24658422;17822854;38;37;7
108.2026;60;24659507;16838131;38;37;7
109.2042;60;24654985;16835243;38;37;7
110.2063;60;24655244;16835255;38;37;7
111.2079;60;24656485;16836059;38;37;7
112.2095;60;24657123;16836355;38;37;7
113.2111;60;24657804;16836675;38;37;7
